id,tapahtumaAika,vuosi,kuukausi,x,y,kunta,kuntaNimi,maakunta,maakuntaNimi,tielaji,tielajis,tieNumero,tieYllapito,tieYllapitoNimi,riistalaji,riistalajiNimi
38,2017-06-23T19:00:00.000+03:00,2017,06,318654.071,6664530.756,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47629,Valkohäntäpeura
39,2017-05-17T19:00:00.000+03:00,2017,05,576150.842,6987165.351,204,Kaavi,11,Pohjois-Savo,6,Muu maantie,5731,1,Valtio,47503,Hirvi
40,2017-04-30T14:00:00.000+03:00,2017,04,610167.945,7109335.787,290,Kuhmo,18,Kainuu,4,Kantatie,76,1,Valtio,200556,Metsäpeura
41,2017-09-16T21:00:00.000+03:00,2017,09,436724.478,7161664.071,425,Liminka,17,Pohjois-Pohjanmaa,3,Valtatie,4,1,Valtio,47503,Hirvi
42,2017-06-25T19:30:00.000+03:00,2017,06,320096.898,6664145.34,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47503,Hirvi
43,2017-11-02T16:06:00.000+02:00,2017,11,585904.573,6997555.579,204,Kaavi,11,Pohjois-Savo,6,Muu maantie,16495,1,Valtio,47503,Hirvi
44,2017-07-01T18:00:00.000+03:00,2017,07,636636.704,7129776.886,290,Kuhmo,18,Kainuu,5,Seututie,912,1,Valtio,200556,Metsäpeura
45,2017-12-21T20:31:00.000+02:00,2017,12,428688.972,7523064.801,261,Kittilä,19,Lappi,6,Muu maantie,9552,1,Valtio,47503,Hirvi
46,2017-06-26T21:00:00.000+03:00,2017,06,320060.197,6664196.708,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
47,2017-08-19T15:45:00.000+03:00,2017,08,618077.139,7115362.246,290,Kuhmo,18,Kainuu,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
48,2017-12-31T08:39:00.000+02:00,2017,12,412277.223,7484468.013,261,Kittilä,19,Lappi,4,Kantatie,79,1,Valtio,47503,Hirvi
49,2017-06-30T21:30:00.000+03:00,2017,06,314495.645,6662594.028,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
50,2017-09-16T22:00:00.000+03:00,2017,09,595857.776,7148777.438,290,Kuhmo,18,Kainuu,4,Kantatie,89,1,Valtio,47503,Hirvi
51,2017-07-08T22:00:00.000+03:00,2017,07,318456.431,6665304.397,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47503,Hirvi
52,2017-09-24T23:00:00.000+03:00,2017,09,595782.932,7148815.624,290,Kuhmo,18,Kainuu,4,Kantatie,89,1,Valtio,47503,Hirvi
53,2017-09-20T19:00:00.000+03:00,2017,09,635665.842,7154767.13,290,Kuhmo,18,Kainuu,9,Yksityinen tie,,99,Ei tietoa,47503,Hirvi
54,2017-07-17T20:15:00.000+03:00,2017,07,318568.928,6665367.649,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
55,2017-11-01T19:00:00.000+02:00,2017,11,636552.157,7129741.346,290,Kuhmo,18,Kainuu,9,Yksityinen tie,,3,Yksityinen,200556,Metsäpeura
56,2017-10-16T18:00:00.000+03:00,2017,10,428423.419,7193278.668,425,Liminka,17,Pohjois-Pohjanmaa,6,Muu maantie,18666,1,Valtio,47507,Metsäkauris
57,2017-11-17T23:00:00.000+02:00,2017,11,617821.091,7115659.196,290,Kuhmo,18,Kainuu,9,Yksityinen tie,,3,Yksityinen,47503,Hirvi
58,2017-09-16T10:00:00.000+03:00,2017,09,423184.233,7504944.74,261,Kittilä,19,Lappi,6,Muu maantie,19876,1,Valtio,47503,Hirvi
59,2017-04-29T08:45:00.000+03:00,2017,04,544578.557,6980464.222,297,Kuopio,11,Pohjois-Savo,3,Valtatie,9,1,Valtio,47507,Metsäkauris
60,2017-11-17T20:00:00.000+02:00,2017,11,627159.264,7152166.896,290,Kuhmo,18,Kainuu,4,Kantatie,89,1,Valtio,47503,Hirvi
61,2017-11-14T14:00:00.000+02:00,2017,11,423614,7506353.546,261,Kittilä,19,Lappi,6,Muu maantie,19876,1,Valtio,47507,Metsäkauris
62,2017-04-27T20:00:00.000+03:00,2017,04,246400.499,6800707.215,271,Kokemäki,04,Satakunta,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
63,2017-10-16T21:10:00.000+03:00,2017,10,392895.526,6695268.022,858,Tuusula,01,Uusimaa,6,Muu maantie,81466,99,Ei tietoa,47629,Valkohäntäpeura
64,2017-03-13T10:00:00.000+02:00,2017,03,411464.973,7500803.789,261,Kittilä,19,Lappi,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
65,2017-06-09T04:30:00.000+03:00,2017,06,391413.954,6691380.36,858,Tuusula,01,Uusimaa,5,Seututie,152,1,Valtio,47503,Hirvi
66,2017-04-28T20:00:00.000+03:00,2017,04,243701.257,6802604.719,271,Kokemäki,04,Satakunta,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
67,2017-10-09T07:00:00.000+03:00,2017,10,386406.491,6691546.311,858,Tuusula,01,Uusimaa,9,Yksityinen tie,,3,Yksityinen,47629,Valkohäntäpeura
68,2017-09-29T08:51:35.220+03:00,2017,09,429981.316,6700700.911,638,Porvoo,01,Uusimaa,5,Seututie,170,1,Valtio,47503,Hirvi
69,2017-09-29T08:53:17.154+03:00,2017,09,431494.213,6695387.547,638,Porvoo,01,Uusimaa,6,Muu maantie,1571,1,Valtio,47507,Metsäkauris
70,2017-08-15T06:00:00.000+03:00,2017,08,432227.159,6699778.27,638,Porvoo,01,Uusimaa,1,Moottoritie,7,1,Valtio,47503,Hirvi
71,2017-10-08T21:02:40.519+03:00,2017,10,428477.2,6698175.704,638,Porvoo,01,Uusimaa,5,Seututie,170,1,Valtio,47629,Valkohäntäpeura
72,2017-10-29T19:00:00.000+02:00,2017,10,413644.679,6688193.156,638,Porvoo,01,Uusimaa,7,Puuttuu,,1,Valtio,47926,Villisika
73,2017-10-31T08:05:00.000+02:00,2017,10,430004.162,6701081.939,638,Porvoo,01,Uusimaa,5,Seututie,170,1,Valtio,47629,Valkohäntäpeura
74,2017-10-29T19:30:00.000+02:00,2017,10,414373.481,6688387.227,638,Porvoo,01,Uusimaa,1,Moottoritie,7,1,Valtio,47926,Villisika
75,2017-11-17T19:45:00.000+02:00,2017,11,429414.179,6699456.309,638,Porvoo,01,Uusimaa,5,Seututie,170,1,Valtio,47503,Hirvi
76,2017-12-19T20:00:00.000+02:00,2017,12,636952.208,6884434.392,260,Kitee,12,Pohjois-Karjala,4,Kantatie,71,1,Valtio,47503,Hirvi
77,2017-10-30T13:25:00.000+02:00,2017,10,394085.537,6697045.737,858,Tuusula,01,Uusimaa,8,Kunnan tie,,2,Kunta,47507,Metsäkauris
