"Municipal key figures 1987-2023"

"Alavieska";"Share of jobs in secondary production, %";.
"Alavieska";"Share of jobs in services, %";.
"Alavus";"Population";10933
"Alavus";"Population change from the previous year, %";-1.5
"Alavus";"Persons aged under 15, %";15.8
"Alavus";"Persons aged 15 to 64, %";54.3
"Alavus";"Persons aged 64 or over, %";29.9
"Alavus";"Swedish-speaking, %";0.1
"Alavus";"Foreign citizens, %";2.0
"Alavus";"Degree of urbanisation, %";.
"Alavus";"Excess of births, persons";-145
"Alavus";"Intermunicipal migration gain/loss, persons";-92
"Alavus";"Families";2944
"Alavus";"Household-dwelling units";5181
"Alavus";"Household-dwelling units living in terraced houses and detached houses, %";86.5
"Alavus";"Household-dwelling units living in rental dwellings, %";.
"Alavus";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Alavus";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Alavus";"Economic dependency ratio";.
"Alavus";"Workplace self-sufficiency";.
"Alavus";"Employed labour force resident in the area";.
"Alavus";"Employment rate of persons aged 20 to 64, %";.
"Alavus";"Employees working in their municipality of residence, share of employed persons, %";.
"Alavus";"Share of unemployed persons in the labour force, %";.
"Alavus";"Share of pensioners in the population, %";.
"Alavus";"Jobs in the area";.
"Alavus";"Share of jobs in primary production, %";.
"Alavus";"Share of jobs in secondary production, %";.
"Alavus";"Share of jobs in services, %";.
"Asikkala";"Population";7968
"Asikkala";"Population change from the previous year, %";-0.6
"Asikkala";"Persons aged under 15, %";12.9
"Asikkala";"Persons aged 15 to 64, %";52.0
"Asikkala";"Persons aged 64 or over, %";35.1
"Asikkala";"Swedish-speaking, %";0.2
"Asikkala";"Foreign citizens, %";2.7
"Asikkala";"Degree of urbanisation, %";.
"Asikkala";"Excess of births, persons";-69
"Asikkala";"Intermunicipal migration gain/loss, persons";-23
"Asikkala";"Families";2255
"Asikkala";"Household-dwelling units";3982
"Asikkala";"Household-dwelling units living in terraced houses and detached houses, %";77.3
"Asikkala";"Household-dwelling units living in rental dwellings, %";.
"Asikkala";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Asikkala";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Asikkala";"Economic dependency ratio";.
"Asikkala";"Workplace self-sufficiency";.
"Asikkala";"Employed labour force resident in the area";.
"Asikkala";"Employment rate of persons aged 20 to 64, %";.
"Asikkala";"Employees working in their municipality of residence, share of employed persons, %";.
"Asikkala";"Share of unemployed persons in the labour force, %";.
"Asikkala";"Share of pensioners in the population, %";.
"Asikkala";"Jobs in the area";.
"Asikkala";"Share of jobs in primary production, %";.
"Asikkala";"Share of jobs in secondary production, %";.
"Asikkala";"Share of jobs in services, %";.
"Askola";"Population";4700
"Askola";"Population change from the previous year, %";-1.3
"Askola";"Persons aged under 15, %";17.4
"Askola";"Persons aged 15 to 64, %";60.1
"Askola";"Persons aged 64 or over, %";22.4
"Askola";"Swedish-speaking, %";3.8
"Askola";"Foreign citizens, %";2.4
"Askola";"Degree of urbanisation, %";.
"Askola";"Excess of births, persons";-18
"Askola";"Intermunicipal migration gain/loss, persons";-48
"Askola";"Families";1356
"Askola";"Household-dwelling units";2102
"Askola";"Household-dwelling units living in terraced houses and detached houses, %";96.2
"Askola";"Household-dwelling units living in rental dwellings, %";.
"Askola";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Askola";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Askola";"Economic dependency ratio";.
"Askola";"Workplace self-sufficiency";.
"Askola";"Employed labour force resident in the area";.
"Askola";"Employment rate of persons aged 20 to 64, %";.
"Askola";"Employees working in their municipality of residence, share of employed persons, %";.
"Askola";"Share of unemployed persons in the labour force, %";.
"Askola";"Share of pensioners in the population, %";.
"Askola";"Jobs in the area";.
"Askola";"Share of jobs in primary production, %";.
"Askola";"Share of jobs in secondary production, %";.
"Askola";"Share of jobs in services, %";.
"Aura";"Population";3961
"Aura";"Population change from the previous year, %";-0.1
"Aura";"Persons aged under 15, %";18.0
"Aura";"Persons aged 15 to 64, %";59.4
"Aura";"Persons aged 64 or over, %";22.6
"Aura";"Swedish-speaking, %";0.6
"Aura";"Foreign citizens, %";2.4
"Aura";"Degree of urbanisation, %";.
