"11ra -- Tunnuslukuja väestöstä alueittain, 1990-2024"

"Kuhmo";"Maapinta-ala, km²";4807.31
"Kuhmoinen";"Maapinta-ala, km²";660.93
"Kumlinge";"Maapinta-ala, km²";99.17
"Kuopio";"Maapinta-ala, km²";3241.82
"Kuortane";"Maapinta-ala, km²";462.37
"Kurikka";"Maapinta-ala, km²";1724.69
"Kustavi";"Maapinta-ala, km²";166.20
"Kuusamo";"Maapinta-ala, km²";4979.18
"Kyyjärvi";"Maapinta-ala, km²";448.22
"Kärkölä";"Maapinta-ala, km²";256.50
"Kärsämäki";"Maapinta-ala, km²";698.32
"Kökar";"Maapinta-ala, km²";63.59
"Lahti";"Maapinta-ala, km²";459.55
"Laihia";"Maapinta-ala, km²";505.16
"Laitila";"Maapinta-ala, km²";532.02
"Lapinjärvi";"Maapinta-ala, km²";329.89
"Lapinlahti";"Maapinta-ala, km²";1096.88
"Lappajärvi";"Maapinta-ala, km²";420.88
"Lappeenranta";"Maapinta-ala, km²";1434.05
"Lapua";"Maapinta-ala, km²";737.27
"Laukaa";"Maapinta-ala, km²";648.50
"Lemi";"Maapinta-ala, km²";218.01
"Lemland";"Maapinta-ala, km²";113.30
"Lempäälä";"Maapinta-ala, km²";269.58
"Leppävirta";"Maapinta-ala, km²";1136.26
"Lestijärvi";"Maapinta-ala, km²";480.08
"Lieksa";"Maapinta-ala, km²";3417.83
"Lieto";"Maapinta-ala, km²";300.53
"Liminka";"Maapinta-ala, km²";637.32
"Liperi";"Maapinta-ala, km²";727.47
"Lohja";"Maapinta-ala, km²";940.17
"Loimaa";"Maapinta-ala, km²";848.09
"Loppi";"Maapinta-ala, km²";597.69
"Loviisa";"Maapinta-ala, km²";820.06
"Luhanka";"Maapinta-ala, km²";214.50
"Lumijoki";"Maapinta-ala, km²";214.12
"Lumparland";"Maapinta-ala, km²";36.40
"Luoto";"Maapinta-ala, km²";142.78
"Luumäki";"Maapinta-ala, km²";750.16
"Maalahti";"Maapinta-ala, km²";522.10
"Maarianhamina - Mariehamn";"Maapinta-ala, km²";11.83
"Marttila";"Maapinta-ala, km²";195.31
"Masku";"Maapinta-ala, km²";174.89
"Merijärvi";"Maapinta-ala, km²";229.69
"Merikarvia";"Maapinta-ala, km²";446.28
"Miehikkälä";"Maapinta-ala, km²";422.63
"Mikkeli";"Maapinta-ala, km²";2548.25
"Muhos";"Maapinta-ala, km²";784.59
"Multia";"Maapinta-ala, km²";733.26
"Muonio";"Maapinta-ala, km²";1904.05
"Mustasaari";"Maapinta-ala, km²";849.50
